listing_id,source,seller_type,housing_type,region,district,rooms,living_area_m2,kitchen_area_m2,total_area_m2,floor,total_floors,building_type,layout,build_year,ceiling_height,bathroom,furnished,renovation,commission,amenities,nearby,negotiable,price,currency,published_date,description,date_scraped,url
4l2eK,olx,private,new building,Tashkent Region,Chilanzar District,4.0,150.0,18.0,150.0,1.0,9.0,brick,separate,2023.0,3.1,2+ bathrooms,1.0,euro renovation,0.0,Internet,"Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,180000.0,USD,02/05/2026,Описание Отличное место расположение всё шаговой доступности первый этаж дуплекс частично мебелью высокие потолки стены кирпич пол монолит учтеплённые стены тёплый пол,2026-05-02,https://www.olx.uz/d/obyavlenie/chilanzar-14-kvartal-novostroyka-ID4l2eK.html
4lw2K,olx,business,new building,Tashkent Region,Mirabad District,2.0,,,51.0,5.0,16.0,brick,separate,,,combined,0.0,shell and core,0.0,,"Entertainment, Bus Stop, School, Supermarket, Shops, Restaurant, Cafe, Playground, Park, Green Area, Kindergarten, Hospital, Clinic, Parking",1,77000.0,USD,02/05/2026,"Описание ЖК O’z Makon 2/5/16 Мирабадский район Ориентир: Переушка мост, Фаргона Йули, Узбум Застройщик: Golden House 2-я линия Общая площадь: 51 м2 Состояние: whitebox Кадастр апрель Вид на Альфраганус Цена: 77.000$ +998770033129",2026-05-02,https://www.olx.uz/d/obyavlenie/srochnaya-prodazha-2h-kom-51m2-zhk-oz-makon-fargona-yuli-uzbum-ID4lw2K.html
4bDdn,olx,business,resale,Tashkent Region,Mirzo-Ulugbek District,3.0,,,68.0,4.0,4.0,panel,Смежно-раздельная,,2.85,separate,0.0,average condition,0.0,,,1,65000.0,USD,02/05/2026,Описание 3 комнатная квартира в панельном доме. Рядом Институт Культуры. Картельная. Дополнительная информация по телефону 933988961 901745890,2026-05-02,https://www.olx.uz/d/obyavlenie/3-komnatnaya-kvartira-yalangach-institut-kultury-ID4bDdn.html
4myBi,olx,private,resale,Tashkent Region,Yashnabad District,2.0,49.0,12.0,53.0,1.0,2.0,brick,separate,1989.0,3.0,separate,1.0,average condition,0.0,"Internet, Telephone, Refrigerator, Washing Machine, Kitchen","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Supermarket, Shops, School",1,29000.0,USD,02/05/2026,Описание Продаётся 2х комнатная квартира в хорошем состоянии Красногорске причина продажа купить 3х комнатную квартиру или обменять.Квартире есть холодная и горячая вода.Соседи хорошие! Кому интересно звоните по номеру телефона 99)485-12-88,2026-05-02,https://www.olx.uz/d/obyavlenie/kvartira-krasnogorsk-ID4myBi.html
4lUZf,olx,private,,Bukhara Region,Bukhara,3.0,87.0,20.0,100.0,1.0,5.0,brick,separate,2017.0,3.0,separate,1.0,euro renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,350.0,USD,02/05/2026,"Описание Квартира 3 хона 1 этаж. ремонт килинган, барча жихозлари бор. Карвон бозор, мед.инст, Самарканд дарвоза якин. Бокий бухоро парки олдида, ориентир эски РМЗ, Турбаза. Вобкент кучаси 50 уй",2026-05-02,https://www.olx.uz/d/obyavlenie/3-honali-uy-1-kavat-izharaga-3-h-komnatnoe-1-etazh-arenda-ID4lUZf.html
4lw2I,olx,business,resale,Tashkent Region,Yunusabad District,3.0,,,115.0,3.0,4.0,brick,separate,,,2+ bathrooms,1.0,euro renovation,0.0,,"Entertainment, Bus Stop, School, Supermarket, Shops, Restaurant, Cafe, Playground, Park, Green Area, Kindergarten, Hospital, Clinic, Parking",1,173000.0,USD,02/05/2026,"Описание Спецплан 3/3/4 Юнусабадский район Метро Минор, Гидрометцентр Площадь: 115 м2 Два балкона Два санузла Гардеробная С ремонтом Мебель и техника Цена: 173.000$/торг +998770033129",2026-05-02,https://www.olx.uz/d/obyavlenie/srochnaya-prodazha-3h-kom-115m2-spets-plan-metro-minor-gidromettsentr-ID4lw2I.html
4lhY6,olx,private,resale,Tashkent Region,Sergeli District,1.0,17.0,12.0,38.0,5.0,9.0,brick,separate,2025.0,3.0,combined,1.0,,0.0,"Internet, Telephone, Cable TV, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,43500.0,USD,02/05/2026,"Описание INDЕX бозори ёнида  Грин ховс янги домидан  1/5/9/-кават  38м² уй сотилади. Шкарный  ремонт к,илинган. Уй сотишга тайёр срази калит берилади.сотиб олган мазза килиб яшайди. Эшик, газ плата хаммасини замановийларидан тоззасидан куйилган ....",2026-05-02,https://www.olx.uz/d/obyavlenie/sergeli-indx-grin-hovs-domidan-1-hona-5-kavot-uy-sotiladi-ID4lhY6.html
3LEZs,olx,private,resale,Tashkent Region,Кибрай,2.0,38.0,18.0,72.0,1.0,2.0,,adjacent,,2.7,separate,0.0,average condition,0.0,"Cable TV, Internet, Balcony, Kitchen","Kindergarten, School, Hospital, Clinic, Supermarket, Shops, Parking, Bus Stop",0,34500.0,USD,02/05/2026,Описание Кибрайский район Поселок майский 2-комнат 1-этаж 2-этажка 72 квадрат метр 35.000 договоримся Тел:88.720.20.26 Тел :903934541,2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartiru-ID3LEZs.html
4mA83,olx,business,resale,Tashkent Region,Yashnabad District,2.0,,,46.0,4.0,4.0,panel,separate,,,separate,1.0,euro renovation,0.0,"Internet, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,53600.0,USD,02/05/2026,"Описание Своя Кадышева базар недалеко Слонима—1 Полноценная 2х комнатная квартира Кадышева скорая помощь недалеко 2комн/4/4 2—комнатная квартира На 4—этаже 4—этажный дом Евро ремонт свежий после ремонта никто не жил Комнаты раздельные Сан/узел раздельный Балкон 1,5×3м Общая площадь: 46 кв.м Ориентир: Кадышева базар, Асалобод—1, скорая помощь, метро Чкалова недалеко Цена:  53,6 тыс& Абдувосит",2026-05-02,https://www.olx.uz/d/obyavlenie/kadysheva-adzhu-2komn-evro-46m2-4et-1-53m-razdeln-komn-ID4mA83.html
4m2lH,olx,business,,Tashkent Region,Mirzo-Ulugbek District,5.0,100.0,,240.0,1.0,1.0,brick,separate,2000.0,,separate,1.0,designer renovation,0.0,"Internet, Telephone, Refrigerator, TV, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,800.0,USD,01/05/2026,"Описание Convenient for foreigners. Quiet neighborhood, affordable prices. A rental agreement is provided. The important thing is to keep it clean and live in peace. 2 km from the new Uzbekistan park. Very safe area. 10 people can live there. Дурмон Хайдаробод МФЙ марказида 5 хонали участка узок муддатли ижарага берилади. Сув, свет, газ ва каналициядан муаммо ек. Мактаб, богча, дукон ва бошка барча  кулайликлар якин масофада жойлашган. Янги Узбекистон богига 3 км масофада жойлашган",2026-05-02,https://www.olx.uz/d/obyavlenie/dolgosrochnaya-arenda-long-term-period-ID4m2lH.html
4igVz,olx,private,,Samarkand Region,Samarkand,3.0,50.0,20.0,76.0,2.0,7.0,brick,Малосемейка,2017.0,3.2,separate,1.0,euro renovation,0.0,"Kitchen, TV, Balcony, Air Conditioning, Internet, Cable TV, Telephone, Washing Machine, Refrigerator","Restaurant, Cafe, Kindergarten, Parking, Bus Stop, Hospital, Clinic, Supermarket, Shops, Park, Green Area, School, Entertainment, Playground",1,500.0,USD,30/04/2026,Описание Здается 2х комнатная квартира на 2м золотом этаже зелёный дом кирпичный дом в районе Вагзал заде саодат рестаран квартира с ремонтом и мебелью. Плошадь 76м/ кв. Ориентир: вагзал 24 чиса магазин.,2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-2h-komnatnaya-2-etazhe-vagzal-saodat-ID4igVz.html
3XEVG,olx,private,resale,Tashkent Region,Sergeli District,3.0,,,80.0,1.0,9.0,panel,separate,2000.0,3.0,separate,1.0,average condition,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",1,77000.0,USD,01/05/2026,"Описание Срочно продам свою трехкомнатную квартиру в районе Янгиҳаёт. В квартире есть кондиционер, стиральная машина, домашний телефон, интернет, телевизор – всё необходимое для комфортного проживания.",2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-ID3XEVG.html
4mC0n,olx,business,resale,Tashkent Region,Shaykhantakhur District,3.0,,,68.0,4.0,4.0,brick,Смежно-раздельная,,,separate,0.0,needs renovation,0.0,Balcony,"Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",1,75998.0,USD,02/05/2026,Описание Ц-13 (Лабзак) #3комнатная 3/4/4 кирпич Балкон 2*6 Комната смежно/разделка С/уз раздельный Без ремонта Ориентир: Клиника Медион Цена:76.000$,2026-05-02,https://www.olx.uz/d/obyavlenie/prodaetsya-kvartira-na-ts-13-3komnatnaya-klinika-medion-ID4mC0n.html
49bVu,olx,private,,Samarkand Region,Лаиш,2.0,65.0,,10.0,1.0,5.0,brick,Многоуровневая,2017.0,3.0,combined,1.0,euro renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,4000000.0,UZS,02/05/2026,"Описание Samarqand shahar Qorasuv massiv 2 xonali 1 etaj barcha sharoiti bor xoladilnik, Kir moshinka, kandetsioner, mebil jixozlari, wi-fi 400$ faqat oilaga 932380077 995915771",2026-05-02,https://www.olx.uz/d/obyavlenie/bez-agestvo-ijaraga-uy-srochna-ID49bVu.html
4mfG4,olx,business,,Tashkent Region,Yunusabad District,1.0,,,37.0,2.0,4.0,panel,separate,1989.0,,separate,1.0,average condition,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,400.0,USD,02/05/2026,Описание Срочно сдаю 1-комнатная переделанная 2-х комнатную квартиру.Для семейной пары с одним ребенком или Одиноким Иностранцам на длительный срок.Фото Реальные. Риэлторские услуги 50% +998998219559 +998958219559,2026-05-02,https://www.olx.uz/d/obyavlenie/srochno-sdayu-yunusabad-15-metro-turkistan-1-2-2-4-ID4mfG4.html
4mxdG,olx,private,resale,Tashkent Region,Uchtepa District,2.0,,,62.0,1.0,4.0,,,,2.8,combined,1.0,average condition,0.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Restaurant, Cafe, Parking, Supermarket, Shops, School",1,102000.0,USD,30/04/2026,"Описание Улучшеная планировка. Свой полсадник ,ухоженый. Продажа с мебелью . Соседи очень дружелюбные.",2026-05-02,https://www.olx.uz/d/obyavlenie/2-h-komnatnaya-kvartira-62k2-ID4mxdG.html
4jIOE,olx,private,,Tashkent Region,Yunusabad District,3.0,64.0,,64.0,2.0,9.0,panel,,,,separate,1.0,euro renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen","Hospital, Clinic, School, Playground, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Supermarket, Shops",0,1000.0,USD,01/05/2026,"Описание Сдается уютная и светлая 3-комнатная квартира в Шайхонтахурском районе города Ташкент. Квартира расположена на 2 этаже 9-этажного дома с лифтом. В квартире сделан современный евроремонт, есть вся необходимая мебель и бытовая техника для комфортного проживания. Комнаты просторные и удобные для семьи. Отличная локация: рядом метро школа парк магазины и вся необходимая инфраструктура Без домашних животных. Квартира готова к заселению. Звоните для получения дополнительной информации и просмотра. Тел: +998985001773,  +998 88 2187464",2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-v-arendu-v-tsentre-goroda-ID4jIOE.html
4lWbg,olx,private,,Tashkent Region,Yunusabad District,4.0,60.0,20.0,86.0,2.0,5.0,panel,separate,1989.0,2.8,separate,1.0,euro renovation,1.0,"Balcony, Air Conditioning, Cable TV, Internet, Washing Machine, Refrigerator, Kitchen, TV","Kindergarten, School, Parking, Playground, Hospital, Clinic, Supermarket, Shops",1,700.0,USD,30/04/2026,Описание Сдаётся квартира 4/2/5  на долгий срок Со всеми удобствами для комфортного проживания Юнусобод 16 квартал 7 дом второй этаж 4х комната с поркофкой,2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-4-2-5-ID4lWbg.html
4lwkw,olx,private,,Khorezm Region,Ургенч,3.0,49.0,10.0,62.0,3.0,4.0,brick,separate,2000.0,2.8,separate,0.0,average condition,0.0,"Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen, Balcony","Hospital, Clinic, School, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops",0,2800000.0,UZS,02/05/2026,"Описание Ургенч шахар марказида мед институтга якин бозорам якин шовот канали буйида 3 каватда 3 хонали квартира узок муддатга ижарага берилади, тоза саклаб утирадовун одамлара, оила студент фарки йук, ижара пули 2.800.000 келишилади, +998882991184",2026-05-02,https://www.olx.uz/d/obyavlenie/kvartira-izharaga-beriladi-ID4lwkw.html
3nWuH,olx,private,resale,Samarkand Region,Samarkand,5.0,86.0,12.0,100.0,4.0,4.0,panel,separate,1989.0,2.5,separate,0.0,,0.0,"Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking",0,900000000.0,UZS,02/05/2026,"Описание 5 хона 6 хона килинган квартира сотилади .4этаж 4 этажлик домда уртада жойлашган.Самарканд ш.Буюк Ипак Йули 73 дома жойлашган.Агробраво супермаркет рупарасида страда кафе ёнида жойлашган.50 мактаб ёнида.Локация жойи Зур ва кулай жойлашган.Мактаб, магазин, супермаркет, ресторан,кафе,богчалар Якин жойда.Нахт ёки ипотека кредитга сотилади.Бартер обмен бор . Продаётся своя 5 комнатная квартира переделанная в 6 комнатную.Установлены новые двери и сантехника.Ремонт старый надо освежить .Хорошая локация близко к дороге . Всё что нужно находится рядом.Школы детские сады, магазины, кафе, рестораны,супермаркеты,салоны,банки находятся рядом.Адрес г Самарканд улица Буюк Ипак Йули 73 дом.Форма оплаты любая:наличными, ипотечный кредит,бартер,обмен.Звоните уточняйте.Телефон 901903921",2026-05-02,https://www.olx.uz/d/obyavlenie/6-honalik-kvartira-samarkand-shaharda-naht-eki-ipoteka-kreditga-sot-agr-ID3nWuH.html
4mBZL,olx,private,,Tashkent Region,Shaykhantakhur District,2.0,56.0,3.0,62.0,6.0,9.0,panel,separate,,3.0,separate,1.0,designer renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Cable TV, Washing Machine, Kitchen, Balcony","Hospital, Clinic, Playground, Kindergarten, Bus Stop, Park, Green Area, Entertainment, Restaurant, Cafe, Parking, Supermarket, Shops, School",0,550.0,USD,02/05/2026,Описание Tel 97 114-44-08 ijaraga 2 honalik uy beriladi honalari keng va alohida uy ichida barcha sharoyitlari bor atrofida bohcha maktab dokon mavjud transpirt qatnovi chorsu bozor qoratosh jar komleks yaqin qule chikish moljal gulabod,2026-05-02,https://www.olx.uz/d/obyavlenie/arenda-chorsu-2-hona-ID4mBZL.html
3SXeV,olx,business,,Tashkent Region,Mirzo-Ulugbek District,1.0,22.0,15.0,33.0,1.0,4.0,panel,studio,1989.0,3.0,combined,1.0,,1.0,"Internet, Refrigerator, TV, Air Conditioning, Washing Machine, Kitchen",,0,600.0,USD,02/05/2026,"Описание Сдается 1 ком квартира на Карасув 2 дом 40. 1 этаж Новый евро ремонт, мебель и оборудование. Небольшой семье.",2026-05-02,https://www.olx.uz/d/obyavlenie/sdaetsya-1-kom-studiya-karasuv-2-ID3SXeV.html
3It0w,olx,private,,Tashkent Region,Yashnabad District,4.0,100.0,12.0,92.0,5.0,5.0,panel,separate,2010.0,3.5,separate,1.0,euro renovation,1.0,"Internet, Telephone, Refrigerator, TV, Air Conditioning, Kitchen, Balcony","School, Playground, Kindergarten, Bus Stop, Park, Green Area, Restaurant, Cafe, Supermarket, Shops",1,1300000.0,UZS,02/05/2026,"Описание Квартирага боллани куяман,  1.300 000 дан. Факат угил боллага.  Мажнунтол кафе оркасида. Ремонт евро, янги,wifi, кондиционер,Кир мошина,хамма шароити бор Дустлик метрога 10 минутлик йул. Хозяйкалик.",2026-05-02,https://www.olx.uz/d/obyavlenie/kvartiraga-ishlaydigan-bolla-kuyaman-ID3It0w.html
4lSbV,olx,business,new building,Tashkent Region,Yashnabad District,2.0,,,75.0,7.0,9.0,brick,,,,,0.0,shell and core,0.0,,,0,93000.0,USD,02/05/2026,Описание Продаётся 2 х комнатная квартира Коробка Площадь 75 м2 С кадастром Сквозная планировка Дом кирпичный Закрытый двор Цена:93.000 уе,2026-05-02,https://www.olx.uz/d/obyavlenie/2-7-9-zhk-poytaht-residents-parkentskiy-ul-mahtumkuli-korobka-75-m2-ID4lSbV.html
